ID,Nombre,Categoria,Marca,Precio,CodeBar
301,Garlic - Elephant,n/a,First Trust Capital Strength ETF,$2.51,532-45-7901
302,Cabbage - Green,Technology,"Bottomline Technologies, Inc.",$66.62,494-97-2686
303,"Pork - Bacon, Double Smoked",Health Care,"Lexicon Pharmaceuticals, Inc.",$66.23,151-91-4013
304,Juice - Cranberry 284ml,n/a,John Hancock Hedged Equity & Income Fund,$8.63,236-27-4481
305,Muffin - Zero Transfat,Finance,"First Capital, Inc.",$52.48,421-42-6427
306,Table Cloth 81x81 White,n/a,Annaly Capital Management Inc,$72.74,580-95-8258
307,Salmon - Canned,Finance,Marlin Business Services Corp.,$85.10,653-71-0755
308,Wine - Jackson Triggs Okonagan,n/a,Solar Capital Ltd.,$39.04,389-31-8631
309,Bag - Regular Kraft 20 Lb,Finance,State Auto Financial Corporation,$8.75,762-93-8783
310,Bread - Raisin Walnut Pull,Technology,"Liberty TripAdvisor Holdings, Inc.",$10.75,676-11-4957
311,Container - Hngd Cll Blk 7x7x3,Basic Industries,"Royal Gold, Inc.",$97.48,521-21-5991
312,Chicken Breast Halal,Public Utilities,Artesian Resources Corporation,$87.79,367-59-0926
313,"Wine - White, Ej Gallo",n/a,Voya Asia Pacific High Dividend Equity Income Fund,$97.62,151-61-2400
314,Wine - Pinot Noir Mondavi Coastal,n/a,Eaton Vance Tax Advantaged Dividend Income Fund,$47.23,105-36-8316
315,Oven Mitts 17 Inch,n/a,J P Morgan Chase & Co,$62.31,847-06-3641
316,Mayonnaise,Consumer Services,"Care Capital Properties, Inc.",$72.26,131-07-7563
317,Melon - Honey Dew,Capital Goods,Nova Measuring Instruments Ltd.,$26.76,788-56-3815
318,Asparagus - Mexican,Consumer Non-Durables,US Foods Holding Corp.,$81.41,141-32-2636
319,Parsley - Fresh,n/a,iShares MSCI All Country Asia ex Japan Index Fund,$3.81,621-02-8650
320,Sauce - Rosee,Health Care,"OncoMed Pharmaceuticals, Inc.",$27.76,698-70-1240
321,"Chilli Paste, Ginger Garlic",Technology,Omnicom Group Inc.,$33.65,133-94-1513
322,"Veal - Brisket, Provimi, Bone - In",Health Care,Vertex Pharmaceuticals Incorporated,$40.79,460-13-3759
323,Pork Loin Cutlets,Consumer Non-Durables,Diageo plc,$88.40,410-23-4075
324,Apple - Granny Smith,Health Care,Blueprint Medicines Corporation,$8.75,752-76-7225
325,Ginger - Crystalized,Health Care,"Natera, Inc.",$92.63,830-88-0057
326,Bread - Olive,Consumer Services,Bed Bath & Beyond Inc.,$99.54,285-38-5322
327,Bar Mix - Lime,n/a,"Hawaiian Electric Industries, Inc.",$90.87,331-36-0341
328,"Artichoke - Bottom, Canned",Health Care,PAREXEL International Corporation,$7.21,138-48-6869
329,Cranberries - Frozen,n/a,"Blackrock MuniHoldings New York Quality Fund, Inc.",$92.70,391-31-2873
330,Ostrich - Prime Cut,Finance,"Maui Land & Pineapple Company, Inc.",$95.21,585-53-3772
331,Gatorade - Xfactor Berry,Technology,"Ringcentral, Inc.",$12.13,322-54-1292
332,"Bread - Roll, Whole Wheat",Consumer Services,"Williams-Sonoma, Inc.",$79.16,752-94-6299
333,Longos - Greek Salad,n/a,Nuveen California Municipal Value Fund 2,$39.10,758-35-5002
334,Creme De Banane - Marie,Capital Goods,Integra LifeSciences Holdings Corporation,$90.12,513-05-3326
335,Soup Campbells Beef With Veg,Finance,Origo Acquisition Corporation,$22.08,224-90-3523
336,Tomato Puree,Health Care,"Community Health Systems, Inc.",$98.02,750-86-7103
337,Mince Meat - Filling,Consumer Durables,Turtle Beach Corporation,$18.88,653-78-5793
338,Wine - Cava Aria Estate Brut,Transportation,Euronav NV,$45.22,267-30-0930
339,Cakes Assorted,Capital Goods,"Ekso Bionics Holdings, Inc.",$45.28,653-50-7779
340,"Beef - Tenderlion, Center Cut",Public Utilities,TransAlta Corporation,$91.57,255-14-3121
341,Pasta - Cheese / Spinach Bauletti,Consumer Services,"Wecast Network, Inc.",$46.76,765-85-0621
342,"Shrimp - 16/20, Peeled Deviened",Finance,"Bank of the James Financial Group, Inc.",$34.66,820-40-0619
343,Cream - 35%,Transportation,"Gener8 Maritime, Inc.",$20.81,235-86-9527
344,"Wine - Red, Cooking",Energy,YPF Sociedad Anonima,$30.59,544-24-8008
345,Lettuce - Arugula,Finance,Simmons First National Corporation,$80.03,778-24-4178
346,Pork - Bacon Cooked Slcd,Health Care,"Intercept Pharmaceuticals, Inc.",$81.12,353-87-2531
347,Soup - Boston Clam Chowder,n/a,"Sophiris Bio, Inc.",$50.60,410-01-8772
348,"Chocolate - Pistoles, White",n/a,Vanguard Russell 1000 Growth ETF,$60.07,571-31-6494
349,Cinnamon - Stick,Finance,MidSouth Bancorp,$70.10,311-50-7686
350,Creme De Menthe Green,Energy,Chesapeake Granite Wash Trust,$52.10,329-92-5648
351,Stock - Fish,Finance,Zions Bancorporation,$49.98,846-75-5290
352,"Pasta - Fett Alfredo, Single Serve",Consumer Services,"Del Frisco's Restaurant Group, Inc.",$61.76,331-05-7765
353,Cheese - Taleggio D.o.p.,Health Care,"PhotoMedex, Inc.",$38.26,587-61-9436
354,Hipnotiq Liquor,Finance,Bank of America Corporation,$31.53,553-46-0333
355,Salt - Table,Technology,"SMART Global Holdings, Inc.",$12.31,751-72-9091
356,Beer - Mcauslan Apricot,n/a,Wells Fargo & Company,$63.57,595-08-6440
357,"Vodka - Lemon, Absolut",Consumer Services,"Urban One, Inc. ",$64.92,336-37-0965
358,Pastry - Banana Muffin - Mini,Finance,Assured Guaranty Ltd.,$96.32,441-96-2907
359,Table Cloth 54x54 White,Public Utilities,Harmony Merger Corp.,$7.23,146-67-9298
360,Tea - Orange Pekoe,Consumer Services,Noodles & Company,$90.28,371-05-7433
361,Spice - Montreal Steak Spice,Consumer Services,Sotherly Hotels Inc.,$66.69,417-36-3496
362,Chicken - Bones,Basic Industries,Trinseo S.A.,$55.95,639-26-7696
363,Eggplant Italian,n/a,"NextEra Energy, Inc.",$99.39,135-94-7735
364,Lotus Leaves,Technology,"ServiceNow, Inc.",$55.40,117-68-1395
365,"Chilli Paste, Sambal Oelek",n/a,iShares S&P/Citigroup 1-3 Year International Treasury Bond Fun,$14.70,481-06-0730
366,Ice Cream Bar - Oreo Sandwich,Finance,X-Links Gold Shares Covered Call ETN,$88.96,174-90-3357
367,Salt And Pepper Mix - Black,n/a,Nuveen Preferred and Income 2022 Term Fund,$55.54,881-10-2509
368,"Water - Mineral, Natural",Energy,"Eco-Stim Energy Solutions, Inc.",$70.72,266-42-8945
369,"Juice - Tomato, 10 Oz",Finance,"CB Financial Services, Inc.",$96.15,582-88-0517
370,Danishes - Mini Raspberry,Finance,XL Group Ltd.,$74.17,816-40-5107
371,Salt - Celery,Health Care,OncoGenex Pharmaceuticals Inc.,$62.59,123-54-8399
372,Buffalo - Striploin,Miscellaneous,"Cass Information Systems, Inc",$67.40,893-10-5792
373,Onions - Cippolini,Health Care,ENDRA Life Sciences Inc.,$82.56,586-97-6080
374,"Vermacelli - Sprinkles, Assorted",Health Care,"Becton, Dickinson and Company",$95.48,787-81-2447
375,Propel Sport Drink,Finance,PICO Holdings Inc.,$7.45,613-71-0674
376,Sprouts - Bean,Technology,Materialise NV,$32.40,501-39-5737
377,"Salsify, Organic",Consumer Services,"Ruth's Hospitality Group, Inc.",$24.06,831-30-8176
378,"Soup - Campbells, Creamy",Health Care,Prothena Corporation plc,$39.83,505-87-8176
379,Mace Ground,Consumer Durables,TravelCenters of America LLC,$70.70,143-47-8261
380,Onions - White,Miscellaneous,Multi-Color Corporation,$69.89,731-85-5779
381,Tahini Paste,Technology,Shopify Inc.,$21.18,292-98-2160
382,Sour Cream,Technology,IPG Photonics Corporation,$68.63,533-81-7053
383,Calypso - Strawberry Lemonade,Technology,"Sonic Foundry, Inc.",$25.53,746-12-0498
384,Leeks - Large,Consumer Services,"Hertz Global Holdings, Inc",$63.16,127-09-2971
385,Ketchup - Tomato,Technology,"ChinaNet Online Holdings, Inc.",$26.76,433-65-1496
386,"Stock - Chicken, White",Health Care,"WellCare Health Plans, Inc.",$66.37,223-58-7539
387,"Marsala - Sperone, Fine, D.o.c.",Consumer Services,"Genius Brands International, Inc.",$83.41,788-10-6469
388,"Tart Shells - Barquettes, Savory",Consumer Services,"Dunkin' Brands Group, Inc.",$75.68,165-44-1885
389,"Lemonade - Island Tea, 591 Ml",Public Utilities,Qwest Corporation,$44.51,708-50-5186
390,Oil - Pumpkinseed,Technology,"Super Micro Computer, Inc.",$29.82,120-42-6303
391,Mikes Hard Lemonade,Consumer Services,Elbit Imaging Ltd.,$76.15,619-11-8459
392,"Wine - White, Schroder And Schyl",n/a,Avenue Income Credit Strategies Fund,$39.31,157-15-2345
393,Tomato - Green,n/a,Flaherty & Crumrine Preferred Securities Income Fund Inc,$64.19,786-95-4049
394,Pike - Frozen Fillet,n/a,National Retail Properties,$14.59,849-50-6715
395,"Sprite, Diet - 355ml",Public Utilities,Atento S.A.,$95.24,867-57-9117
396,Milk - Condensed,Energy,"Torchlight Energy Resources, Inc.",$43.50,624-84-6628
397,Lamb - Bones,Consumer Services,NorthStar Realty Europe Corp.,$60.64,670-42-0045
398,"Yogurt - Peach, 175 Gr",Health Care,OncoSec Medical Incorporated,$47.43,775-70-7057
399,Vinegar - Balsamic,Finance,"Provident Financial Holdings, Inc.",$7.07,687-10-9779
400,Water - Spring 1.5lit,Finance,iPath US Treasury 2-year Bear ETN,$77.71,533-85-1532
401,Pasta - Cheese / Spinach Bauletti,Technology,"CSG Systems International, Inc.",$64.13,469-69-5756
402,Stainless Steel Cleaner Vision,Health Care,ReWalk Robotics Ltd,$66.52,311-28-8788
403,"Lamb - Racks, Frenched",Technology,Sanmina Corporation,$84.42,639-31-0971
404,Coffee - 10oz Cup 92961,Consumer Services,"Piedmont Office Realty Trust, Inc.",$0.91,158-25-0939
405,Syrup - Monin - Blue Curacao,Technology,Cerner Corporation,$7.75,208-71-7644
406,Table Cloth 54x54 White,n/a,Regency Centers Corporation,$27.23,118-26-2824
407,"Lettuce - Mini Greens, Whole",Capital Goods,"Spirit Aerosystems Holdings, Inc.",$55.81,616-41-8473
408,Gatorade - Cool Blue Raspberry,Capital Goods,"Commercial Vehicle Group, Inc.",$32.11,365-45-2369
409,"Doilies - 12, Paper",Energy,BP Prudhoe Bay Royalty Trust,$61.19,585-54-5751
410,Pork - Ground,Capital Goods,"Manitowoc Company, Inc. (The)",$63.91,578-31-4825
411,Beer - Steamwhistle,Health Care,"Becton, Dickinson and Company",$63.23,771-68-2400
412,Ham - Cooked Bayonne Tinned,Consumer Services,"Diversified Restaurant Holdings, Inc.",$15.86,586-89-1070
413,Sour Puss Raspberry,n/a,Global X S&P 500 Catholic Values ETF,$67.19,770-43-8437
414,Flounder - Fresh,n/a,The Cushing MLP Total Return Fund,$9.00,888-35-0688
415,Pepper - Chili Powder,Energy,Baytex Energy Corp,$7.54,219-82-2914
416,Onions - Cooking,Finance,Torchmark Corporation,$6.04,685-54-4251
417,Amarula Cream,Finance,"Innovative Industrial Properties, Inc.",$61.20,599-35-0260
418,Peppercorns - Pink,Health Care,"Savara, Inc.",$98.82,313-73-1413
419,Water - Perrier,n/a,"Pacific American Income Shares, Inc.",$58.80,193-45-7084
420,Bread - Corn Muffaletta,Finance,Yintech Investment Holdings Limited,$81.64,279-46-9347
421,Towel Dispenser,Basic Industries,Delta Technology Holdings Limited,$43.24,133-77-8104
422,Wine - Riesling Alsace Ac 2001,Finance,"Marcus & Millichap, Inc.",$21.65,500-36-2763
423,Sandwich Wrap,Finance,Citizens First Corporation,$74.14,559-87-1349
424,"Pepsi - Diet, 355 Ml",n/a,"Avenue Therapeutics, Inc.",$70.96,777-39-8204
425,Ham Black Forest,Miscellaneous,"Ctrip.com International, Ltd.",$39.67,570-42-5321
426,Muffin Puck Ww Carrot,Energy,Legacy Reserves LP,$68.38,748-56-9859
427,Pepper - Green Thai,Consumer Services,Dick's Sporting Goods Inc,$65.15,411-24-2204
428,Chickhen - Chicken Phyllo,Capital Goods,"Century Communities, Inc.",$26.65,430-60-5557
429,"Lobster - Baby, Boiled",Health Care,"MacroGenics, Inc.",$56.67,566-97-8342
430,Bread - Sour Batard,Basic Industries,General Cable Corporation,$89.45,483-37-1673
431,"Bread - Crumbs, Bulk",Health Care,Kitov Pharmaceuticals Holdings Ltd.,$39.26,216-54-4350
432,"Wine - Red, Mouton Cadet",Health Care,"LeMaitre Vascular, Inc.",$10.40,839-97-3015
433,Wine - Montecillo Rioja Crianza,Energy,NOW Inc.,$24.34,171-93-6888
434,Milk - 2% 250 Ml,Consumer Services,"Manhattan Bridge Capital, Inc",$49.88,797-62-1306
435,Rice - Jasmine Sented,Health Care,"Invuity, Inc.",$2.74,271-44-9611
436,Crawfish,n/a,"Boston Properties, Inc.",$27.84,504-76-5788
437,Chef Hat 25cm,Finance,"Conifer Holdings, Inc.",$50.83,802-95-7574
438,Sour Puss Sour Apple,Consumer Durables,Pool Corporation,$41.90,183-56-8719
439,Wine - Rosso Toscano Igt,Consumer Services,"SunOpta, Inc.",$10.61,632-54-1242
440,Beer - Fruli,n/a,PowerShares S&P SmallCap Energy Portfolio,$82.97,185-55-6406
441,Syrup - Chocolate,Health Care,"Rigel Pharmaceuticals, Inc.",$29.80,692-92-8166
442,Containter - 3oz Microwave Rect.,Finance,"Greenlight Reinsurance, Ltd.",$87.77,285-50-0056
443,Wine - Acient Coast Caberne,Technology,Autohome Inc.,$73.29,439-50-7605
444,"Stock - Beef, White",Health Care,"Merit Medical Systems, Inc.",$50.11,405-10-2737
445,Muffin Chocolate Individual Wrap,Finance,Aegon NV,$56.42,847-66-7193
446,Mangoes,Public Utilities,Atmos Energy Corporation,$27.55,679-34-0872
447,Table Cloth 62x114 White,Finance,"Federated Investors, Inc.",$61.38,367-52-3244
448,Soupfoamcont12oz 112con,Energy,"Plains All American Pipeline, L.P.",$54.11,262-24-1251
449,Ecolab - Medallion,n/a,iShares S&P/Citigroup International Treasury Bond Fund,$99.68,151-38-8075
450,Yeast Dry - Fleischman,Finance,Infinity Property and Casualty Corporation,$87.73,678-55-3579
451,Wine - Cave Springs Dry Riesling,Energy,Canadian Natural Resources Limited,$83.10,287-03-3852
452,"Seedlings - Buckwheat, Organic",Finance,Capital One Financial Corporation,$63.06,632-35-8701
453,Bread - Calabrese Baguette,Energy,Mesa Royalty Trust,$91.36,716-12-9061
454,Broom - Corn,Technology,"Enphase Energy, Inc.",$53.69,174-74-0436
455,Rappini - Andy Boy,Health Care,XBiotech Inc.,$79.68,736-93-5719
456,"Wine - Magnotta, White",Capital Goods,"RF Industries, Ltd.",$81.50,709-10-5129
457,Napkin White - Starched,Health Care,DURECT Corporation,$70.25,260-50-4346
458,Wine - Beringer Founders Estate,Consumer Services,American Homes 4 Rent,$90.11,560-18-9085
459,Muffins - Assorted,Energy,Concho Resources Inc.,$13.43,149-71-4855
460,Mcguinness - Blue Curacao,Finance,Kemper Corporation,$52.37,100-15-5356
461,Compound - Passion Fruit,n/a,"LogMein, Inc.",$13.14,319-77-8783
462,Parasol Pick Stir Stick,Finance,"AMERIPRISE FINANCIAL SERVICES, INC.",$94.24,199-04-4368
463,Fork - Plastic,Finance,"Magyar Bancorp, Inc.",$82.62,502-06-4566
464,Beef Ground Medium,Miscellaneous,"FleetCor Technologies, Inc.",$8.59,276-37-1385
465,Wine - Barbera Alba Doc 2001,Finance,OceanFirst Financial Corp.,$67.72,226-05-8048
466,Appetizer - Cheese Bites,Health Care,"BeyondSpring, Inc.",$59.26,474-78-1967
467,"Arctic Char - Fresh, Whole",Consumer Non-Durables,RiceBran Technologies,$44.78,867-64-9984
468,Durian Fruit,n/a,ENDRA Life Sciences Inc.,$48.66,157-49-9472
469,Syrup - Monin - Granny Smith,Public Utilities,Internet Gold Golden Lines Ltd.,$84.75,626-10-1045
470,"Lemonade - Black Cherry, 591 Ml",Finance,BancFirst Corporation,$71.92,148-32-6636
471,"Syrup - Monin, Irish Cream",Technology,"Commvault Systems, Inc.",$72.90,576-41-3637
472,Pork - Back Ribs,Technology,"Wayside Technology Group, Inc.",$28.82,481-85-7300
473,Garlic - Peeled,n/a,Ashford Hospitality Trust Inc,$88.59,209-61-4687
474,Bag Clear 10 Lb,n/a,"Adams Natural Resources Fund, Inc.",$53.09,735-57-2464
475,Veal - Osso Bucco,Technology,"Welbilt, Inc.",$31.58,413-24-9112
476,"Pasta - Lasagna, Dry",Basic Industries,Trinseo S.A.,$18.42,312-47-0190
477,Veal - Kidney,Consumer Services,Restaurant Brands International Inc.,$89.79,531-47-1844
478,Ice Cream Bar - Oreo Sandwich,Consumer Non-Durables,Sony Corp Ord,$43.84,306-15-8071
479,Noodles - Steamed Chow Mein,Technology,Electronic Arts Inc.,$37.02,526-87-6784
480,Pepsi - 600ml,Technology,"Paycom Software, Inc.",$56.92,400-22-3025
481,Yeast Dry - Fleischman,Technology,MDC Partners Inc.,$51.93,450-54-3753
482,Black Currants,n/a,"BlackLine, Inc.",$87.93,281-94-0364
483,Garbage Bags - Black,n/a,Proshares UltraPro Nasdaq Biotechnology,$68.80,419-84-6703
484,"Shrimp - Baby, Warm Water",Technology,"Aspen Technology, Inc.",$0.75,265-76-1416
485,Appetizer - Lobster Phyllo Roll,n/a,"Apollo Global Management, LLC",$39.90,766-47-9424
486,Rootbeer,Technology,CYREN Ltd.,$33.91,363-82-1710
487,Garam Masala Powder,n/a,"Goldman Sachs Group, Inc. (The)",$37.97,425-81-3031
488,Bread - Rye,Health Care,"Pulmatrix, Inc.",$85.04,576-16-2577
489,Pastry - Raisin Muffin - Mini,Consumer Services,"Foundation Building Materials, Inc.",$65.44,665-49-3327
490,Beef - Prime Rib Aaa,Public Utilities,The York Water Company,$96.56,263-98-4257
491,Ice Cream - Chocolate,Finance,"Landcadia Holdings, Inc.",$4.17,669-95-3655
492,Table Cloth 144x90 White,Health Care,"Kindred Healthcare, Inc.",$98.55,342-43-2683
493,Tray - 16in Rnd Blk,Public Utilities,American Water Works,$39.70,668-46-9493
494,Glass Clear 7 Oz Xl,n/a,John Hancock Tax-Advantaged Global Shareholder Yield Fund,$52.92,313-18-1198
495,"Shrimp - Baby, Warm Water",n/a,KKR & Co. L.P.,$43.70,819-85-7015
496,Cheese - Valancey,n/a,First Trust China AlphaDEX Fund,$65.91,289-64-5630
497,Potatoes - Idaho 80 Count,Public Utilities,"Western Gas Equity Partners, LP",$82.80,725-26-1710
498,Mousse - Passion Fruit,Health Care,"Fulgent Genetics, Inc.",$4.51,565-92-9494
499,Wine - Blue Nun Qualitatswein,Energy,TechnipFMC plc,$54.31,233-64-2211
500,"Soup - Campbells, Cream Of",Consumer Services,Container Store (The),$55.74,514-77-0847
501,Currants,Consumer Services,MakeMyTrip Limited,$82.64,357-51-2781
502,"Orange - Canned, Mandarin",Technology,"Park City Group, Inc.",$44.57,857-80-7359
503,Onions - White,n/a,iStar Financial Inc.,$99.19,342-19-0220
504,Milk Powder,Energy,"Holly Energy Partners, L.P.",$93.01,516-26-2150
505,Beer - Camerons Auburn,Consumer Non-Durables,Colgate-Palmolive Company,$85.10,204-14-3377
506,Thyme - Fresh,Finance,BBVA Banco Frances S.A.,$69.64,481-21-2792
507,"Tendrils - Baby Pea, Organic",Technology,"Heidrick & Struggles International, Inc.",$71.28,768-21-2093
508,Cornish Hen,Finance,JMP Group LLC,$15.79,570-29-9984
509,Longos - Chicken Curried,Finance,"Equifax, Inc.",$71.03,220-48-5525
510,Puree - Blackcurrant,Finance,MSB Financial Corp.,$81.14,504-57-5420
511,Tea - Green,Finance,"Washington Federal, Inc.",$36.12,475-61-3657
512,"Wine - White, Pelee Island",n/a,Interstate Power and Light Company,$52.01,455-47-5359
513,Limes,Finance,Wintrust Financial Corporation,$39.57,221-30-0132
514,"Pasta - Gnocchi, Potato",n/a,iShares MSCI EM ESG Optimized ETF,$56.59,557-89-0933
515,Carbonated Water - Strawberry,n/a,Moog Inc.,$76.96,697-52-2222
516,Almonds Ground Blanched,Capital Goods,Cubic Corporation,$84.24,727-39-6732
517,Lady Fingers,Technology,Veeco Instruments Inc.,$40.05,298-51-2854
518,"Pineapple - Canned, Rings",n/a,Nuveen Select Tax Free Income Portfolio III,$7.86,444-30-5522
519,Pepper - Yellow Bell,Energy,Legacy Reserves LP,$35.22,749-09-4224
520,Milk 2% 500 Ml,Finance,"Hallmark Financial Services, Inc.",$5.54,575-68-8674
521,Bay Leaf Fresh,Basic Industries,TOR Minerals International Inc,$20.67,205-43-1157
522,Bread - Hot Dog Buns,Health Care,"Sonoma Pharmaceuticals, Inc.",$7.63,641-79-4825
523,Corn Meal,Finance,Aspen Insurance Holdings Limited,$17.11,887-94-4486
524,Sun - Dried Tomatoes,Capital Goods,"Barnes Group, Inc.",$9.51,212-58-6549
525,Bread - Olive,Consumer Services,Cencosud S.A.,$27.49,642-36-1214
526,Cup - Paper 10oz 92959,n/a,ProShares UltraPro Short NASDAQ Biotechnology,$9.57,828-27-4025
527,Rice Paper,n/a,Scudder Strategic Income Trust,$64.91,484-74-9585
528,"Oil - Shortening,liqud, Fry",Capital Goods,James Hardie Industries plc.,$0.77,417-04-5446
529,Vodka - Smirnoff,n/a,FIRST REPUBLIC BANK,$82.72,766-22-9131
530,Wine - Lou Black Shiraz,Health Care,Luna Innovations Incorporated,$84.67,851-40-2304
531,"C - Plus, Orange",Consumer Durables,Nutraceutical International Corporation,$10.18,450-75-6661
532,Kiwi Gold Zespri,n/a,Diversified Real Asset Income Fund,$91.59,769-08-0710
533,Ham - Procutinni,Technology,Concurrent Computer Corporation,$94.08,601-68-3898
534,Ecolab Crystal Fusion,n/a,Wells Fargo & Company,$94.17,594-53-1028
535,Lime Cordial - Roses,Health Care,Histogenics Corporation,$33.87,557-56-5060
536,Pasta - Ravioli,Health Care,Perrigo Company,$75.86,238-38-2822
537,Lettuce - Romaine,Energy,SandRidge Permian Trust,$57.31,168-59-2186
538,"Coffee - Beans, Whole",Basic Industries,Mosaic Company (The),$52.14,810-11-9260
539,Sobe - Liz Blizz,Consumer Services,"Ulta Beauty, Inc.",$2.32,154-56-6710
540,Tea - Vanilla Chai,Capital Goods,Owens Corning Inc,$41.31,337-59-1087
541,"Nut - Almond, Blanched, Ground",Capital Goods,Toro Company (The),$96.00,780-87-4061
542,"Beef - Ox Tail, Frozen",n/a,iShares 20+ Year Treasury Bond ETF,$78.91,695-02-6979
543,"Chicken - Wings, Tip Off",Finance,"Ambac Financial Group, Inc.",$78.32,462-26-5140
544,Snapple - Iced Tea Peach,n/a,RenaissanceRe Holdings Ltd.,$57.90,160-96-5579
545,Ham - Cooked,Technology,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,$74.27,621-66-3797
546,Slt - Individual Portions,n/a,VictoryShares US 500 Enhanced Volatility Wtd ETF,$70.55,548-13-2475
547,"Fish - Scallops, Cold Smoked",n/a,Lincoln National Corporation,$14.80,668-82-6746
548,Myers Planters Punch,Health Care,XBiotech Inc.,$95.48,527-56-7104
549,Squid - U - 10 Thailand,Consumer Non-Durables,Fomento Economico Mexicano S.A.B. de C.V.,$50.41,345-69-0800
550,"Pepper - White, Whole",Health Care,Verona Pharma plc,$96.77,790-89-6624
551,Bread - Corn Muffaleta Onion,Consumer Services,Red Lion Hotels Corporation,$88.75,618-25-9517
552,Prunes - Pitted,Energy,"Energy Transfer Partners, L.P.",$71.46,836-30-9534
553,Beef Striploin Aaa,Health Care,"DexCom, Inc.",$59.76,558-79-6898
554,Hold Up Tool Storage Rack,n/a,The AES Corporation,$95.46,307-42-7209
555,"Rum - Cream, Amarula",Finance,"Penns Woods Bancorp, Inc.",$50.88,699-29-7275
556,Sunflower Seed Raw,Consumer Durables,TravelCenters of America LLC,$49.77,640-36-9052
557,"Juice - V8, Tomato",Consumer Services,"Century Casinos, Inc.",$56.25,379-59-5418
558,"Soup - Knorr, French Onion",Public Utilities,AT&T Inc.,$31.43,413-09-3463
559,Bread - Flat Bread,n/a,Eaton Vance Senior Income Trust,$56.74,697-90-5021
560,Energy Drink - Franks Pineapple,n/a,ProShares UltraPro Short NASDAQ Biotechnology,$49.91,828-26-4753
561,Kellogs Raisan Bran Bars,n/a,Bank of America Corporation,$87.61,219-37-0577
562,"Syrup - Golden, Lyles",Consumer Durables,"Kimball International, Inc.",$5.62,564-20-3677
563,Plaintain,Public Utilities,"Dominion Energy, Inc.",$51.07,623-47-4308
564,"Wine - Cahors Ac 2000, Clos",Consumer Durables,"Natural Alternatives International, Inc.",$67.38,175-89-8200
565,Oven Mitt - 13 Inch,Energy,Cenovus Energy Inc,$86.09,395-62-9657
566,"Ham - Smoked, Bone - In",Finance,"ING Group, N.V.",$91.58,264-05-8740
567,"Nut - Pistachio, Shelled",Health Care,Auris Medical Holding AG,$79.61,807-58-5054
568,"Corn - Cream, Canned",Transportation,"Grupo Aeroportuario Del Pacifico, S.A. de C.V.",$97.12,554-77-4478
569,Ezy Change Mophandle,Health Care,"AngioDynamics, Inc.",$64.48,525-61-2740
570,"Lobster - Baby, Boiled",Capital Goods,"Agilent Technologies, Inc.",$83.49,730-54-3714
571,"Wine - Cahors Ac 2000, Clos",Technology,"Hanwha Q CELLS Co., Ltd. ",$12.85,798-69-0303
572,Yoplait Drink,n/a,PowerShares Water Resources Portfolio,$89.91,360-99-2980
573,Sauce - Roasted Red Pepper,Consumer Services,"Village Super Market, Inc.",$81.31,674-45-8950
574,Salmon - Canned,Basic Industries,American Vanguard Corporation,$90.65,196-33-6491
575,Ecolab - Balanced Fusion,Finance,First BanCorp.,$42.28,470-36-2729
576,Cheese - Le Cheve Noir,n/a,CM Finance Inc,$53.90,543-04-2259
577,"Beef - Baby, Liver",n/a,Blackrock Florida Municipal 2020 Term Trust,$92.91,379-57-0517
578,"Lemonade - Natural, 591 Ml",Technology,National Instruments Corporation,$84.80,753-61-0730
579,Lettuce - Iceberg,Consumer Durables,Natural Health Trends Corp.,$36.65,495-23-0841
580,Pasta - Agnolotti - Butternut,n/a,Nuveen New Jersey Quality Municipal Income Fund,$62.09,612-94-3412
581,"Wine - White, Schroder And Schyl",Consumer Services,"MarineMax, Inc.",$79.11,503-46-2047
582,Magnotta Bel Paese Red,n/a,Citigroup Inc.,$41.90,706-29-3009
583,Chocolate - Unsweetened,Technology,Atomera Incorporated,$49.69,150-19-8046
584,Pear - Packum,Miscellaneous,"Liquidity Services, Inc.",$31.55,103-27-7427
585,"Pasta - Orzo, Dry",Capital Goods,Strattec Security Corporation,$64.25,773-03-5433
586,"Lamb - Whole Head Off,nz",Consumer Services,Landmark Infrastructure Partners LP,$63.45,242-16-1162
587,"Bread - Bagels, Plain",Capital Goods,ClearSign Combustion Corporation,$30.77,257-47-6781
588,Nescafe - Frothy French Vanilla,Technology,"Workday, Inc.",$8.98,464-62-4910
589,Cake - Lemon Chiffon,Public Utilities,Fabrinet,$40.20,573-11-9862
590,Wine - Vidal Icewine Magnotta,Finance,Vantage Energy Acquisition Corp.,$76.13,229-16-4239
591,Venison - Ground,Consumer Services,"Sunstone Hotel Investors, Inc.",$63.47,273-23-4396
592,Wine - Barossa Valley Estate,Finance,"MarketAxess Holdings, Inc.",$98.12,786-60-7238
593,Wine - Niagara Peninsula Vqa,n/a,F.N.B. Corporation,$46.69,400-56-8013
594,Kiwano,Technology,Innodata Inc.,$46.67,670-69-6036
595,Mustard - Individual Pkg,n/a,"Mid-America Apartment Communities, Inc.",$23.30,517-88-9822
596,"Artichokes - Knobless, White",Finance,"Affiliated Managers Group, Inc.",$12.63,511-26-0447
597,"Stock - Beef, Brown",Capital Goods,"Simpson Manufacturing Company, Inc.",$26.22,528-50-9207
